Oracion Original,Label Orignial,Puntaje Positivo,Puntaje Negativo,Tiempo de Ejecucion,Resultado de Inferencia,Sentimiento
nooooooo my dvr just died and was only half way through the ea presser hate you time warner,0,0.0,0.313,0.0001800060272216797,3.5594648206532318,Neutral
ck time warner cable you cking suck balls have hd tv amp my damn hd channels hardly ever come in bullshit,0,0.0,0.343,0.0002124309539794922,3.1851397099232748,Negativo
time warner has the worse customer service ever will never use them again,0,0.0,0.205,0.00014019012451171875,4.435164011297214,Neutral
time warner is the devil worst possible time for the internet to go out,0,0.0,0.415,0.00013828277587890625,2.1142431083112134,Negativo
fuck no internet damn time warner,0,0.0,0.737,7.390975952148438e-05,1.7484008891317149,Negativo
time warner really picks the worst time to not work all want to do is get to mtv com so can watch the hills wtfffff,0,0.0,0.195,0.00022101402282714844,4.490649286665072,Neutral
hate time warner soooo wish had vios cant watch the fricken mets game buffering feel like im watching free internet porn,0,0.291,0.127,0.000217437744140625,5.951842456561189,Neutral
ahh got rid of stupid time warner today amp now taking nap while the roomies cook for me pretty good end for monday,0,0.207,0.115,0.0002334117889404297,5.412973310945685,Neutral
time warner hd line up is crap,0,0.0,0.302,8.869171142578125e-05,3.6783446684084127,Neutral
is being fucked by time warner cable didnt know modems could explode and susan boyle sucks too,0,0.0,0.315,0.0001685619354248047,3.536891350857394,Neutral
time warner cable slogan where calling it day at pm happens,0,0.0,0.0,0.00010204315185546875,5.0,Neutral
recovering from surgery wishing was here,0,0.275,0.0,8.153915405273438e-05,6.1655583159719285,Neutral
my wrist still hurts have to get it looked at hate the dr dentist scary places time to watch eagle eye if you want to join txt,1,0.099,0.282,0.0002789497375488281,4.087106569790837,Neutral
the dentist lied won feel any discomort prob won even need pain pills man twippin this shit hurt how many pills can take,0,0.195,0.357,0.0002384185791015625,4.4309909013466,Neutral
my dentist is great but she expensive,0,0.298,0.0,9.202957153320312e-05,6.409119610198737,Neutral
is studing math tomorrow exam and dentist,1,0.0,0.0,7.200241088867188e-05,5.0,Neutral
my dentist was wrong wrong,0,0.0,0.674,7.557868957519531e-05,1.8548182255167365,Negativo
going to the dentist later,0,0.0,0.0,5.53131103515625e-05,5.0,Neutral
son has me looking at cars online hate car shopping would rather go to the dentist anyone with good car at good price to sell,0,0.184,0.117,0.0002319812774658203,5.282653244676038,Neutral
luke and got stopped walking out of safeway and asked to empty our pockets and lift our shirts how jacked up is that,0,0.0,0.15,0.00020170211791992188,4.700575484234028,Neutral
safeway is very rock roll tonight,1,0.0,0.0,6.461143493652344e-05,5.0,Neutral
the safeway bathroom still smells like ass,0,0.227,0.318,9.72747802734375e-05,4.70737384782848,Neutral
at safeway on elkhorn they move like they re dead,0,0.169,0.291,0.00010800361633300781,4.466048737961948,Neutral
love dwight howard vitamin water commercial now wish he was with nike and not adidas lol,1,0.388,0.1,0.000179290771484375,6.519659518268519,Neutral
found nothing at nike factory off to banana republic outlet,0,0.0,0.0,9.34600830078125e-05,5.0,Neutral
is lovin his nike already and that only from running on the spot in his bedroom,1,0.0,0.0,0.0001308917999267578,5.0,Neutral
finally got around to using jquery to make my bio collapse yay for slide animations,1,0.173,0.163,0.0001552104949951172,5.066975532442848,Neutral
right lol we ll get there have high expectations warren buffet style,1,0.203,0.0,0.00011754035949707031,5.601449879806973,Neutral
rt rt great someone sitting in the shade today because someone planted tree long time ago warren buffet,1,0.194,0.0,0.0001506805419921875,5.547306995446116,Neutral
warren buffet became for time the richest man in the united states not by working but investing in big idea which lead to the fortune,1,0.151,0.0,0.0002319812774658203,5.3288229692695355,Neutral
according to the create school notre dame will have receivers in ncaa at or higher rating sweet,1,0.254,0.0,0.00017523765563964844,5.973559091547071,Neutral
it definitely under warranty amp my experience is the amazon support for kindle is great had to contact them about my kindle,1,0.384,0.0,0.00020766258239746094,7.814034153302847,Positivo
time warner road runner customer support here absolutely blows hate not having other high speed net options ready to go nuclear,0,0.191,0.146,0.000225067138671875,5.21525955711934,Neutral
time warner cable phone reps dumber than nails ugh cable was working mins ago now its not wtf,0,0.131,0.227,0.000186920166015625,4.599847241853518,Neutral
we tried but time warner wasn being nice so we recorded today,0,0.252,0.0,0.0001227855682373047,5.9565736714713085,Neutral
omg time warner ed up my internet install instead of today its now next saturday another week internet amp ehfa fhg fml,0,0.0,0.0,0.00018334388732910156,5.0,Neutral
wth have never seen line this loooong at time warner before ugh,0,0.0,0.383,0.0001270771026611328,2.532124029409486,Negativo
impatiently awaiting the arrival of the time warner guy it way too pretty to be inside all afternoon,0,0.146,0.123,0.00016546249389648438,5.096155891365835,Neutral
naive bayes using em for text classification really frustrating,0,0.0,0.431,0.0001087188720703125,2.0443784106957854,Negativo
we went to stanford university today got tour made me want to go back to college it also decided all of our kids will go there,1,0.049,0.0,0.00021576881408691406,5.035603590958366,Neutral
if you re being harassed by calls about your car warranty changing your number won fix that they call every number bags,0,0.227,0.126,0.00021696090698242188,5.495377530303318,Neutral
just blocked united blood services using google voice they call more than those car warranty guys,0,0.148,0.111,0.00014710426330566406,5.140195129127172,Neutral
at amp is complete fail,0,0.0,0.467,7.152557373046875e-05,1.8798611893333603,Negativo
oh snap you work at at amp don you,0,0.0,0.0,7.224082946777344e-05,5.0,Neutral
really dont want at amp phone service they suck when it comes to having signal,0,0.0,0.253,0.0001595020294189453,4.116586973493689,Neutral
say we just cut out the small talk at amp new slogan you give us your money apologies to bob geldof,0,0.0,0.095,0.00019621849060058594,4.878758126517454,Neutral
pissed about at amp mid contract upgrade price for the iphone it more not going to pay for something thought was,0,0.053,0.171,0.0001862049102783203,4.65857987449117,Neutral
safari is fast even on my shitty at amp tethering,0,0.0,0.286,0.00010848045349121094,3.8366194036922305,Neutral
what is at amp fucking up,0,0.0,0.0,6.270408630371094e-05,5.0,Neutral
at amp dropped the ball and isn supporting crap with the new iphone fail att sucks,0,0.123,0.366,0.00018167495727539062,3.8407131361588025,Neutral
yay glad you got the phone still damn you at amp,0,0.374,0.158,0.000110626220703125,5.9380688666259545,Neutral
talk is cheap bing that ll stick with google,0,0.0,0.0,8.416175842285156e-05,5.0,Neutral
wtf is the point of deleting tweets if they can still be found in summize and searches twitter please fix that thanks and bye,0,0.173,0.127,0.00021791458129882812,5.197047788713712,Neutral
love google translator too good day mate,1,0.587,0.0,8.845329284667969e-05,8.097973979680757,Positivo
reading on my new kindle,1,0.0,0.0,5.435943603515625e-05,5.0,Neutral
my kindle came and love it,1,0.457,0.0,7.748603820800781e-05,8.254689406266419,Positivo
loving my new kindle named her kendra in case were wondering the cookbook is the tool cuz it tells all the tricks best gift evr,1,0.328,0.045,0.0002300739288330078,6.736281544978738,Positivo
the real aig scandal,0,0.0,0.492,6.270408630371094e-05,1.7578001044697567,Negativo
obama is quite good comedian check out his dinner speech on cnn very funny jokes,1,0.512,0.0,0.00017786026000976562,8.23935127887789,Positivo
barack obama shows his funny side gt gt great speech,1,0.651,0.0,0.00012540817260742188,8.152072560197201,Positivo
like this guy barack obama shows his funny side gt gt,1,0.578,0.0,0.0001251697540283203,8.117241654961344,Positivo
obama speech was pretty awesome last night,1,0.593,0.0,0.00010132789611816406,8.084827664891272,Positivo
reading bill clinton fail obama win,1,0.336,0.31,8.797645568847656e-05,5.092423078122863,Neutral
obama more popular than among arabs survey president barack obama popularity in leading arab countries,1,0.323,0.0,0.00014662742614746094,6.722735224209579,Positivo
obama got jokes haha just got to watch bit of his after dinner speech from last night in love with mr president,1,0.326,0.0,0.0002124309539794922,6.764381129393321,Positivo
lebron james got in car accident guess just heard it on evening news wow cant believe it will he be ok,0,0.221,0.114,0.00020551681518554688,5.500971503837014,Neutral
is it me or is this the best the playoffs have been in years oh yea lebron and melo in the finals,1,0.167,0.0,0.00017571449279785156,5.402849254207684,Neutral
no lebron is the best,1,0.447,0.234,7.152557373046875e-05,5.464541830878792,Neutral
lebron is cool like his personality he has good character,1,0.524,0.0,0.00012350082397460938,8.219963217695817,Positivo
watching lebron highlights damn that niggas good,1,0.242,0.425,0.00010156631469726562,4.625299029922934,Neutral
lebron is murdering shit,1,0.0,0.798,6.67572021484375e-05,1.6824780519757607,Negativo
lebron is monsta and he is only smh the world ain ready,1,0.169,0.155,0.00012969970703125,5.079976851279465,Neutral
when lebron is done in the nba he will probably be greater than kobe like said kobe is good but there alot of good players,1,0.307,0.0,0.0002498626708984375,6.515521787877924,Neutral
kobe is good bt lebron has my vote,1,0.293,0.0,8.869171142578125e-05,6.352861338248137,Neutral
kobe is the best in the world not lebron,0,0.344,0.0,9.5367431640625e-05,7.036194127792668,Positivo
world cup access damn that good look,1,0.274,0.255,9.489059448242188e-05,5.108211813936728,Neutral
just bought my tickets for the fifa world cup in south africa its going to be great summer,1,0.194,0.0,0.00016546249389648438,5.547306995446116,Neutral
have to go to booz allen hamilton for hr meeting but then get to go home,0,0.0,0.0,0.00012111663818359375,5.0,Neutral
the great indian tamasha truly will unfold from may the result day for indian general election,1,0.333,0.0,0.00014209747314453125,6.865515742242583,Positivo
have the kindle ve seen pictures of the dx but haven seen it in person love my kindle on it everyday,1,0.212,0.092,0.00017952919006347656,5.515735579066659,Neutral
such an awesome idea the continual learning program with kindle,1,0.313,0.0,0.00010323524475097656,6.5903514379929256,Neutral
ooooh what model are you getting have the and love love love love it,1,0.627,0.0,0.0001513957977294922,8.102303179035856,Positivo
the times of india the wonder that is india election,1,0.0,0.0,7.987022399902344e-05,5.0,Neutral
good video from google on using search options,1,0.293,0.0,7.724761962890625e-05,6.352861338248137,Neutral
lol ah my skin is itchy damn lawnmowing,0,0.222,0.381,0.00010251998901367188,4.546248101385807,Neutral
itchy back dont ya hate it,0,0.33,0.231,8.153915405273438e-05,5.3853641809918384,Neutral
stanford charity fashion show top draw,1,0.535,0.0,7.748603820800781e-05,8.201003978902559,Positivo
stanford university facebook profile is one of the most popular official university pages,1,0.205,0.0,0.0001285076141357422,5.61395149221336,Neutral
lyx is cool,1,0.535,0.0,4.9114227294921875e-05,8.201003978902559,Positivo
sooo dissapointed they sent danny gokey home you still rock danny my hometown hero yeah milrockee,1,0.293,0.0,0.0001575946807861328,6.352861338248137,Neutral
rt american idol fashion adam lambert tones down danny gokey cute,1,0.231,0.0,0.00011587142944335938,5.790911458880778,Neutral
love you danny gokey,1,0.583,0.0,4.863739013671875e-05,8.106605471867935,Positivo
so tired didn sleep well at all last night,0,0.171,0.26,0.000102996826171875,4.609712304808548,Neutral
boarding plane for san francisco in hour hr flight blech,0,0.0,0.0,9.250640869140625e-05,5.0,Neutral
bonjour san francisco my back hurts from last night,0,0.0,0.279,0.00010085105895996094,3.9008968538756434,Neutral
with my best girl for few more hours in san francisco mmmmmfamily is wonderful,1,0.397,0.0,0.00014519691467285156,8.138739921650837,Positivo
up big or go home aig,0,0.0,0.0,6.341934204101562e-05,5.0,Neutral
went to see the star trek movie last night very satisfying,1,0.248,0.0,0.00011658668518066406,5.923304765357958,Neutral
can wait going to see star trek tonight,1,0.0,0.0,7.724761962890625e-05,5.0,Neutral
star trek was as good as everyone said,1,0.293,0.0,9.489059448242188e-05,6.352861338248137,Neutral
am loving new malcolm gladwell book outliers,1,0.394,0.0,7.796287536621094e-05,8.059784928960694,Positivo
highly recommend malcolm gladwell the tipping point my next audiobook will probably be one of his as well,1,0.234,0.0,0.00017118453979492188,5.813192061873233,Neutral
malcolm gladwell is genius at tricking people into not realizing he fucking idiot,0,0.07,0.229,0.00014519691467285156,4.381604588701933,Neutral
hey no offense but malcolm gladwell is pretenious annoying cunt and he brings you down cant read his shit,0,0.135,0.38,0.00020837783813476562,3.927445166217012,Neutral
rt great article by malcolm gladwell,1,0.451,0.0,7.176399230957031e-05,8.252977961663113,Positivo
seriously underestimated malcolm gladwell want to meet this dude,1,0.117,0.342,0.00010275840759277344,3.848537866444744,Neutral
hate comcast right now everything is down cable internet amp phone ughh what am to do,0,0.0,0.198,0.0001366138458251953,4.47432712820583,Neutral
comcast sucks,0,0.0,0.714,3.886222839355469e-05,1.783429887953206,Negativo
the day never have to deal with comcast again will rank as one of the best days of my life,0,0.181,0.0,0.00016760826110839844,5.474606296435705,Neutral
did comcast fail again,0,0.0,0.538,5.745887756347656e-05,1.7683796065049142,Negativo
curses the twitter api limit,0,0.0,0.0,5.459785461425781e-05,5.0,Neutral
now can see why dave winer screams about lack of twitter api its limitations and access throttles,0,0.0,0.231,0.00017023086547851562,4.274090422604212,Neutral
arg twitter api is making me crazy,0,0.0,0.286,9.131431579589844e-05,3.8366194036922305,Neutral
really loving the new search site wolfram alpha makes google seem so quaint,1,0.259,0.0,0.00012159347534179688,6.016894800764618,Neutral
wolfram alpha sucks even for researchers the information provided is less than you can get from google or wikipedia totally useless,0,0.0,0.227,0.00020170211791992188,4.300641813807073,Neutral
off to the nike factory,1,0.0,0.0,5.5789947509765625e-05,5.0,Neutral
new nike muppet commercials are pretty cute why do we live together again,1,0.36,0.0,0.0001418590545654297,7.3141372906528215,Positivo
oh those are awesome so wish they weren owned by nike,0,0.458,0.0,0.00012540817260742188,8.25493770522825,Positivo
awesome seeing the show friday at the shoreline amphitheatre never seen nin before can wait,1,0.227,0.0,0.0001380443572998047,5.761714152574395,Neutral
arhh it weka bug and spent almost two hours to find that out crappy me,0,0.0,0.205,0.00014472007751464844,4.435164011297214,Neutral
hey bud np do so love my although love mkii more,1,0.587,0.0,0.00011444091796875,8.097973979680757,Positivo
just got us for the office,1,0.0,0.0,6.365776062011719e-05,5.0,Neutral
just picked up my new canon it beautiful prepare for some seriously awesome photography,1,0.386,0.082,0.0001628398895263672,6.743294980808968,Positivo
just got my new toy canon love love love it,1,0.643,0.0,0.00011658668518066406,8.135944306205669,Positivo
learning about lambda calculus,1,0.0,0.0,4.839897155761719e-05,5.0,Neutral
moving to east palo alto,1,0.0,0.0,5.888938903808594e-05,5.0,Neutral
atebits just finished watching your stanford iphone class session really appreciate it you rock,1,0.187,0.0,0.00014090538024902344,5.507389907008456,Neutral
hi just saw your stanford talk and really liked your advice just saying hi from singapore yes the videos do get around,1,0.225,0.0,0.00019240379333496094,5.74743069969862,Neutral
lakers tonight let go,1,0.0,0.0,4.863739013671875e-05,5.0,Neutral
will the lakers kick the nuggets ass tonight,1,0.0,0.333,8.821487426757812e-05,3.3189535848167178,Neutral
oooooooh north korea is in troubleeeee,0,0.0,0.0,6.341934204101562e-05,5.0,Neutral
wat the heck is north korea doing they just conducted powerful nuclear tests follow the link,0,0.157,0.0,0.00014734268188476562,5.355630580027185,Neutral
listening to obama friggin north korea,0,0.0,0.0,6.389617919921875e-05,5.0,Neutral
just realized we three monkeys in the white obama biden pelosi sarah palin,0,0.0,0.0,0.00011396408081054688,5.0,Neutral
pelosi should stay in china and never come back,0,0.0,0.0,8.463859558105469e-05,5.0,Neutral
nancy pelosi gave the worst commencement speech ve ever heard yes still bitter about this,0,0.125,0.319,0.00016951560974121094,4.0086131344519975,Neutral
